,Project ID,name,long,lat,First Year of Project,Type,Country
1287,237654,7.5MW Biomass based Power Project of Koganti Power Limited in Karnataka India,76.939441,15.147221,2006,Biomass,India
1288,2371669,Bundled Wind Power Project by Giriraj Enterprises,70.823,22.8118,2015,Wind,India
1289,237660,Liaoning Faku Wanghaisi East Wind Power Project,123.435,42.475,2008,Wind,China
1290,237662,5.5 MW Bundled Wind Power Project by WMI Cranes Ltd,74.316665,21.266666,2007,Wind,India
1291,237664,Xinjiang Alashankou Phase I Wind Power Project,82.616664,45.191664,2009,Wind,China
1292,237666,Gansu Zhangye Heihe Longhui Small Scale Hydropower Project,98.188888,25.165274,2007,Hydropower,China
1293,237667,Chongqing Longshui 8MW Hydro Power Project,108.870261,31.5375,2008,Hydropower,China
1294,237668,"Tuna Hydropower Plant, Turkey",37.400569,40.372172,,Hydropower,Turkey
1295,237670,Xiaoxi Hydropower Project,111.449719,27.575555,2008,Hydropower,China
1296,237671,"Bundled grid-connected wind electricity generation project identified as Bundle E1 in Maharashtra and Rajasthan, India",74.892277,17.177136,2006,Wind,India
1297,2371368,Urla Wind Power Plant,26.778715,38.287285,2016,Wind,Turkey
1298,2371031,Dak Psi 3 and 4 Hydropower Project,107.9972,14.775,2011,Hydropower,Vietnam
1299,237680,7.30 MW Bundled Wind Power Project by Oswal Cables,70.813667,26.734472,,Wind,India
1300,237683,Liusha River First Cascade 12.6MW Hydropower Project,100.586111,21.985,2009,Hydropower,China
1304,237692,6 MW Wind Power Project in Tamil Nadu by REI Agro Limited,77.734999,8.259415,2006,Wind,India
1305,237694,Bundled Wind Power Project by Sheth Developers Private Limited,74.659182,17.278164,,Wind,India
1308,23797,Yanling Shendu Hydropower Project,113.783333,26.416667,2007,Hydropower,China
1309,237696,Natural Gas Based Grid Connected Combined Cycle Power Generation by TANGEDCO.,78.916666,9.351663,,,
1310,237705,Shandong Weihai 69 MW Wind Power Project,121.183333,36.683332,,Wind,China
1312,237703,PANITAO Biomass Thermal Energy Project,-73.047361,-41.549711,2009,Biomass,Chile
1313,237712,"Introduction of Blast furnace gas firing in boiler no.6, PBS (PP-1), Bhilai Steel Plant and Introduction",81.393611,21.183053,,,
1314,237488,"82 MW Lau Renun Hydro Power Plant, North Sumatra",98.409444,2.65,2009,Hydropower,Indonesia
1316,237422,Zhejiang Wenling Donghaitang Wind Power Project,121.616667,28.410556,2008,Wind,China
1317,237482,2.5 MW Bundled Wind Power Project in Maharashtra (India),77.95,17.6167,2007,Wind,India
1318,237396,Inner Mongolia Bayannaoer Chuanjingsumu 49.3MW Wind Power Project,108.38333,41.95,2008,Wind,China
1319,237504,Hainan Danzhou Eman Wind Power Project,108.933333,19.183333,2009,Wind,China
1320,237506,"DARICA-1 99 MW Hydro Power Plant Project, Turkey",35.852778,40.710833,2009,Hydropower,Turkey
1321,237355,Inner Mongolia Baotou Bayin Wind Power Project,109.2756,42.336667,2008,Wind,China
1322,237471,"The Bogeda 40.5 MW Wind-Farm Project in Urumqi, Xinjiang, China",87.701778,43.509083,2008,Wind,China
1323,237873,Gansu Guazhou Beidaqiao Wind Power Project,96.257,40.674,2011,Wind,China
1324,237553,Sebenoba 30 MW Wind Farm,36.04893,36.04893,2008,Wind,Turkey
1325,237563,Biomass based steam generation project by Sterling Agro Industries Ltd.,78.7,27.8,2010,Biomass,India
1326,237650,"Biomass Based Power Generation Plant at Village Channu, Punjab",74.615656,30.121849,2009,Biomass,India
1327,237676,33.9 MW Bundled Wind Power project in states of Karnataka and Tamil Nadu,77.457053,10.57225,2008,Wind,India
1328,237715,Gansu Yumen Diwopu Phase II  Wind Power Project,96.955555,40.167493,2009,Wind,China
1329,237734,Wind power project by Patnaik Minerals Pvt. Ltd.,70.272777,22.098333,2007,Wind,India
1330,237782,Grid connected wind energy project in Tamil Nadu by Super Wind Project Private Ltd.,77.337,9.029,2008,Wind,India
1331,2371667,Ã‡erÃ§ikaya Wind Power Project,30.123067,36.438584,,Wind,Turkey
1332,2371236,25 MW Solar PV Project in Gujarat,71.5851,23.4701,2012,Solar - Centralized,India
1333,2371045,"Wind Power Project at Rajkot, Gujarat",71.316248,22.044222,2012,Wind,India
1334,2371051,Heilongjiang Wangyunfeng Wind Power Project,130.665555,47.909444,2010,Wind,China
1335,2371088,"4.2 MW Wind Power Project by National Enterprises at Tamil Nadu, India",77.578833,9.071666,,Wind,India
1336,2371103,Upgrade of Dominican Power Partnersâ€™ Los Mina power station from open cycle to combined cycle power generation,-69.867831,18.499418,,,
1337,237891,"Bundled Wind Power generation project by Savita Oil Technologies Ltd., India",77.465215,9.943905,2010,Wind,India
1338,237739,Pawan Urja Vistaran: Small entities combined wind power project in India - 2002-03,74.551997,19.036666,2007,Wind,India
1340,2371242,Inner Mongolia Helin Shimenzi 49.5MW Wind Power Project,112.083331,40,2013,Wind,China
1341,2371029,San Pedro Hydropower Plant,-72.58,-39.75,,Hydropower,Chile
1342,2371064,Bundle Wind Energy Project in Indian States - EnKing International 2005,77.096108,10.933555,,Wind,India
1343,2371073,Vaayu India Wind Power Project in Andhra Pradesh,77.987694,14.986192,2010,Wind,India
1344,2371068,Hydroelectric Project El EdÃ©n,-75.088999,5.366666,2017,Hydropower,Colombia
1345,2371069,"8 MW bundled wind power project, proposed by Ghodawat Industries (India) Pvt. Ltd.",76.4,14.233333,2010,Wind,India
1347,2371892,SOLAR GROUPED PROJECT BY EPSA-CELSIA,-74.080556,4.5975,,Solar - Centralized,Colombia
1348,2371186,ViÃ±ales biomass power plant,-72.412,-35.371,2014,Biomass,Chile
1349,2371078,Guangdong Zhanjiang Yangqian 49.5MW Wind Power Project,110.482518,20.580324,2010,Wind,China
1350,2371086,Guizhou Tongzihe Yangjiayuan Hydropower Project,106.374709,28.161939,,Hydropower,China
1351,2371097,Wind Energy Project in Gujarat,69.90297,22.06414,2011,Wind,India
1352,2371102,"Wind Power Project in Tinwari, Rajasthan",72.87424,26.42828,2011,Wind,India
1353,2371104,KALE HYDROELECTRIC POWER PLANT,36.086972,40.751702,,Hydropower,Turkey
1354,2371105,OSMANCIK HYDROELECTRIC POWER PLANT,36.118191,40.741038,,Hydropower,Turkey
1355,237741,Pawan Urja Vistaran: Small entities combined wind power project in India - 2006,74.320858,21.292583,2007,Wind,India
1359,2371121,Anhui Guzhen Biomass Generation Project,117.336939,33.218887,2011,Biomass,China
1360,2371123,50.4 MW Wind Power Project by GSFC Ltd.,71.1098,22.143636,,Wind,India
1361,2371124,33 MW Wind Power Project of GSFC Ltd,68.700749,23.315138,,Wind,India
1362,237384,Grid connected bundled wind power project in Karnataka managed by Enercon (India) Limited,75.633333,15.133333,2007,Wind,India
1363,237986,"KumkÃ¶y Hydroelectric Power Plant, Samsun",36.719261,41.120213,2011,Hydropower,Turkey
1364,2371130,"9 MW WIND POWER PROJECT OF KHATAU NARBHERAM & CO. IN TAMIL NADU, INDIA",77.572468,9.060026,,Wind,India
1365,2371132,Bundled Wind Energy Project in Indian States :- EnKing International 2007,77.534083,10.736583,,Wind,India
1366,2371145,"Biomass Based Cogeneration Project by Best Foods Limited at Haryana, India",77.019441,29.859722,,Biomass,India
1367,2371149,Punta Colorada Wind Farm Project Phase I,60.837806,-5.344192,,Wind,Chile
1368,2371160,"6.5 MW cogeneration project in Akbarpur, Punjab",75.366664,31.5,,,
1370,2371170,KIRAN Hydro Power Plant,38.628104,40.862932,,Hydropower,Turkey
1372,2371180,CGN Minqin Hongshagang Xianshuijing Wind Power Project,102,39.018554,,Wind,China
1373,2371198,Pembelik Hydro Electricity Power Plant,39.894857,39.083311,2015,Hydropower,Turkey
1374,2371213,"BIOMASS BASED COGENERATION PROJECT BY SSA INTERNATIONAL LIMITED AT HARYANA, INDIA",77.013991,29.195381,,Biomass,India
1375,2371220,Luoning Biomass Cogeneration Project,111.6866,34.3955,2010,Biomass,China
1376,2371221,Eglence I-II Hydroelectric Power Plant,35.3601,37.6912,2013,Hydropower,Turkey
1377,2371230,"Solar Photovoltaic Power Project at Jalgaon, Maharashtra",75.563141,20.928982,2012,Solar - Centralized,India
1382,2371264,"Yunnan Longjiang 240MW Hydropower Project, in P.R. China",98.1131,24.2411,2010,Hydropower,China
1383,2371284,Kandil Dam and Hydroelectric Power Plant,37.114,38.013,,Hydropower,Turkey
1384,2371260,ZÃ© Tunin Small Hydropower Plant Project,-42.944995,-21.315,,Hydropower,Brazil
1386,237914,Golova and Sevindik HPPs of Subehri Hydropower Project,38.58335,40.06722,2009,Hydropower,Turkey
1387,2371007,"Karakus Hydropower Plant, Turkey",37.115336,40.699767,,Hydropower,Turkey
1388,2371008,"Yaprak-II Hydropower Plant, Turkey",36.403056,40.863333,,Hydropower,Turkey
1389,2371009,"Yaprak-I Hydropower Plant, Turkey",36.3492,40.8944,,Hydropower,Turkey
1390,2371011,"Umut-II Hydropower Plant, Turkey",37.028889,40.712778,,Hydropower,Turkey
1391,2371016,"CE TECHNOLOGY FUEL SWITCH FOR CLEANROOM GLOVE INDUSTRY PROJECT, TAIPING",100.7,4.87,,Biomass,Malaysia
1392,2371018,Wind power project in Tamil Nadu by SWPPL,77.624637,8.812666,2011,Wind,India
1393,2371021,Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan,71.13683,26.79686,2016,Wind,India
1394,237745,Pawan Urja Vistaran: Small entities combined wind power project in India - 2005,76.417944,14.189443,2007,Wind,India
1395,237143,Bandeira and Capelli Ceramics Fuel Switching Project,-36.166667,-9.672778,2006,Biomass,Brazil
1396,2371032,Xundian Jinfeng 12.6MW Hydropower Project,103.109718,25.876387,2008,Hydropower,China
1397,2371033,Hubei Dangyang 25MW Biomass Power Project,111.960554,31.032218,2010,Biomass,China
1398,2371034,Inner Mongolia Wutaohai South Phase II Wind Power Project,117.8407,42.7159,2010,Wind,China
1399,2371039,AES Saurashtra Windfarms,69.377153,21.899777,,Wind,India
1400,2371049,Heilongjiang Bianfushan Wind Power Project,130.857776,46.743054,2009,Wind,China
1401,237723,0.7 MW Wind Power Generation Project of BLA Coke Private Limited,69.287389,21.899694,,Wind,India
1402,237735,Wind power project by PMPL in Maharashtra,74.379472,21.190249,2006,Wind,India
1404,237966,Tecamac EcoMethane Landfill Gas to Energy Project,-99.003247,19.655718,,,
1405,237969,Qingdao Longxin Wind Power Project Phase I,119.91125,36.8568,2012,Wind,China
1406,237970,Liaoning Guben Wind Power Project,122.288611,42.231611,2011,Wind,China
1407,237971,Dak Srong 2 Hydropower Project,108.558329,13.695833,2011,Hydropower,Vietnam
1409,237938,Biomass based steam generation plant by Crown Milk Specialties Private Limited (CMSPL),76.734014,30.719081,2010,Biomass,India
1410,2371410,"Solar PV power project at Patan,India",71.198053,23.905832,,Solar - Centralized,India
1412,2371129,3 MW bundled wind Power Project in Tamil Nadu,77.364999,10.812777,2010,Wind,India
1414,2371059,Cobanli 19.03 MW Hydroelectric Power Plant,32.591571,39.973285,,Hydropower,Turkey
1416,2371101,BALKODU 1 HYDRO POWER PLANT,40.169055,40.575555,,Hydropower,Turkey
1417,2371151,Wind based power project in Maharashtra by Siddhayu Ayurvedic Research Foundation Pvt. Ltd,74.292055,21.312833,,Wind,India
1418,2371164,Wind Power Project by NACL in Tamil Nadu,77.623187,9.092026,,Wind,India
1419,2371169,EPM Grouped Natural Gas Project,-75.366507,6.167423,,,
1420,2371656,Zhangbei Manjing Windfarm Project,114.533333,41.133333,2012,Wind,China
1421,2371870,Gezin Solar Power Project,39.54837,38.533962,2018,Solar - Centralized,Turkey
1423,2371223,"Yanhe, Dejiang, and Yinjiang Rural Methane Digesters Project in Guizhou Province, China",108.05,28.2,,,
1424,2371224,"Sinan and Shiqian Rural Methane Digesters Project in Guizhou Province, China",107.8667,27.5333,,,
1425,2371234,"Songtao, Tongren, Wanshan and Yuping Rural Methane Digesters Project in Guizhou Province, China",108.6,27.8167,,,
1426,2371243,Xifeng and Xiuwen Rural Biogas Methane Project in Guizhou Province,106.4575,26.9827,,,
1427,2371244,Qingzhen Rural Biogas Methane Project in Guizhou Province,106.2167,26.4333,,,
1428,2371295,Biomass Based Steam Generation Plant,76.301997,30.646664,,Biomass,India
1429,2371298,Biomass Based Steam Generation Project by Industrial Progressive India Limited,77.32222,28.166387,,Biomass,India
1430,2371868,GUACHICONO SMALL HYDROELECTRIC PROJECT,-76.875273,2.156667,,Hydropower,Colombia
1432,237484,Thermal energy from Biomass at Mohota Mills,78.833383,20.55383,2006,Biomass,India
1433,237485,Longyou 18MW Hydropower Project in Zhejiang Province,119.25,29.066667,2006,Hydropower,China
1435,237492,"3.75 MW Wind Project Activity by M/s Muthoot Finance Ltd in the state of Tamilnadu, India.",77.58275,8.925222,,Wind,India
1436,2371305,CIty and County of Honolulu Solid Waste to Energy Facility - 3RD Boiler Expansion,-158.103516,21.305157,,,
1439,2371716,Matebe Hydroelectric plant,29.46611,-1.228609,2016,Hydropower,DRC
1440,237758,Saracbendi HPP Run-of-River Hydro Project,36.16,39.32,2011,Hydropower,Turkey
1441,237502,Utilization of agro-residue biomass in a co-generation system,76.97,11.01,2009,Biomass,India
1442,237503,Henan Zhengzhou Grid Connected Natural Gas Combined Cycle Power Plant,112.7,34.3,,,
1443,237505,Liaoning Faku Heping Wind Power Project,123.5425,42.59583,2009,Wind,China
1444,237507,Liaoning Faku Baijiagou Wind Power Project,123.561667,42.554722,2009,Wind,China
1445,237508,"Natural Gas based Combined Cycle Power Project at Valantharavai Village, Ramanathapuram District, Tamil Nadu by Penna Electricity Limited [Formerly Arkay Energy Limited]",78.911667,9.323333,,,
1447,237810,CEYHAN 61.7 MW Hydropower Project,36.233742,37.224463,2010,Hydropower,Turkey
1448,237496,"Positive Climate Care 6.25 MW Bundled Wind Power Project Activity in the state of Tamilnadu, India.",77.176111,10.609722,2006,Wind,India
1449,237511,Zhang Jiagang waste heat recovery from sulphuric acid production for electricity generation project,120.464444,32.002778,,,
1451,237515,"Bundled wind power generation project by KMSPL, India",77.350583,10.914639,,Wind,India
1453,237173,Vishnuprayag Hydro-electric Project (VHEP) by Jaiprakash Power Ventures Ltd.(JPVL),79.46667,30.7,2006,Hydropower,India
1454,237517,Shandong Changdao Wind Farm Project,120.639722,37.964722,2008,Wind,China
1455,237523,WHR CDM CPP,81.683333,21.383333,,,
1456,237524,Fray Bentos Biomass Power Generation Project,-58.258889,-33.116667,2008,Biomass,Uruguay
1457,237525,5.1 MW bundled Wind Power Project in Tirunelveli (Tamil Nadu),77.39083,9.03917,2009,Wind,India
1458,237526,Harbin Rice Husk Thermal Energy Generation Project,126.671614,45.626306,2011,Biomass,China
1459,237527,Jiamusi Rice Husk Thermal Energy Generation Project,130.453353,46.786322,,Biomass,China
1460,237519,Yichun Daqingshan Wind Power Project,128.993742,47.945375,2005,Wind,China
1461,237520,Enercon Wind Farm (Hindustan) Ltd in Karnataka,76.5,13.516667,2006,Wind,India
1462,237521,"Someshwara small hydropower project (24.75 MW) in Karnataka, India",77.183333,12.3,2008,Hydropower,India
1463,2371862,Bundled Wind Power Project in Gujarat and Tamil Nadu,77.4523,9.8495,2017,Wind,India
1464,2371709,140 MW Solar Photovoltaic Project in Rajasthan,71.9,27.482768,2017,Solar - Centralized,India
1465,2371513,Eurus Wind Farm,-94.828051,16.575275,2010,Wind,Mexico
1466,237531,"1 MW Jiwa Small Hydel Project in Kullu, Himachal Pradesh",77.322778,32.791389,2007,Hydropower,India
1467,237532,4.85 MW wind power project in Maharashtra and Tamilnadu,77.7195,8.2785,,Wind,India
1468,237539,Liaoning Kangping Furaoshan Wind Power Project,123.2296,42.62894,2008,Wind,China
1469,237552,Banna Liusha River Fifth Level Power Plant Project,100.693056,22.153056,2008,Hydropower,China
1470,237554,"AZMAK 24.3 Hydro Power Project, Turkey",33.342568,36.598474,,Hydropower,Turkey
1471,237542,Electricity generation from bundled wind energy project activity aggregated by Resurge Energy Private Limited - VII,75.363861,18.876889,2008,Wind,India
1473,237556,Xilinguole Huitengliang Wind Power Project Guotai Phase I,116.224997,43.49611,2009,Wind,China
1474,237544,Gansu Guazhou Daliangxi Wind Power Project,95.610278,40.715278,2009,Wind,China
1475,237545,Generation of Electricity in Gujarat from Bundled Wind Energy Project Activity â€“ Bundle 6,70.67025,23.313556,2009,Wind,India
1476,237546,Jilin Da'an Dagangzi Wind Power Project Phase III,123.453056,45.235833,2009,Wind,China
1477,237547,Generation of electricity from Bundled 25 MW wind energy project aggregated by Resurge Energy Private Limited.,74.39147,21.16986,2006,Wind,India
1478,237548,Jilin Da'an Dagangzi Wind Power Project Phase II,123.590556,44.306389,2009,Wind,China
1479,237549,Biomass based 6 MW grid connected renewable electricity generation at West bengal by Kamarhatty Power Limited,87.85,23.25,,Biomass,India
1480,237561,Ecofren Power 8 MW Renewable Sources Biomass Power Project,80.766667,22.383333,2007,Biomass,India
1483,237896,Foz do ChapecÃ³ Project,-53.043326,-27.14,2010,Hydropower,Brazil
1484,237907,Baicheng Rice Husk Thermal Energy Generation Project,122.879982,45.59,2011,Biomass,China
1485,237915,WIND POWER BASED ELECTRICITY GENERATION PROJECT IN INDIA BY DLF HOME DEVELOPERS LIMITED,72.9575,26.6961,2008,Wind,India
1487,237923,"Wind power project in Tirunelveli, Tamil Nadu by TVS Energy Limited",77.659024,8.916444,,Wind,India
1488,237926,"Wind power project by Sargam Retails Pvt. Ltd. in Gujarat, India",70.30225,21.999303,2009,Wind,India
1489,237930,"Wind power project by TVS Energy Limited in Theni, Tamil Nadu",77.507805,9.943861,,Wind,India
1490,2371652,Centrale Solaire de Malicounda - Groupe Solaria,-16.965628,14.452024,,Solar - Centralized,Senegal
1492,2371401,"Solar Power Project in Gujarat, India",71.282499,20.876111,,Solar - Centralized,India
1493,2371411,"Solar PV power project at Bikaner,India",72.963605,28.137919,,Solar - Centralized,India
1494,2371412,Alakopru Hydro Power Plant,32.897598,36.18103,,Hydropower,Turkey
1495,2371421,"Biomass Based Cogeneration Project By M/s SNS Starch Limited at Telengana, India",77.833332,16.083275,,Biomass,India
1496,2371106,Sogukpinar Regulator and Hydroelectric Power Plant Project,38.696794,40.842086,,Hydropower,Turkey
1497,2371107,Koprubasi 14.66 MW HEPP,38.96989,40.13037,,Hydropower,Turkey
1498,2371108,23.80 MW KIY Regulator and Hydroelectric Power Plant Project,35.709185,37.736923,,Hydropower,Turkey
1499,2372240,,0,0,,RE Bundled,United States
1502,2371172,"160 MW Gas Based Combined Cycle Power Project-III BY RVUNL at Ramgarh District Jaisalmer, Rajasthan",70.532995,27.343675,,,
1503,2371235,Hydroelectric Project Cantayus,-75.060225,6.534499,,Hydropower,Colombia
1504,2371290,Biomass Based Power Project by Bahl Paper Mills Ltd at Kashipur,78.95,29.219994,,Biomass,India
1506,2371422,4.5MW Wind Power Project by Hira Group,77.560416,9.033694,,Wind,India
1508,2371048,NATIONAL CARBON TRADING PROJECT FOR WEATHERIZATION OF LOW-INCOME DWELLINGS,-89.35,39.5,,,
1509,2371320,Sichuan Baoxing Dongfeng Hydropower Project,102.757497,30.414441,,Hydropower,China
1510,2371323,Bundled small scale wind energy VCS project activity by Envarrior Consulting Services-2,69.740705,22.043719,,RE Bundled,India
1511,2371335,Bundled Biomass Project in India,78.4907,28.8295,,Biomass,India
1512,2371365,Bundled small scale wind energy VCS project activity by Envarrior Consulting Services-3,59.985999,24.884776,,Wind,India
1514,2371341,8.40MW Bundled Wind Power Project in Rajasthan by Friends Salt Works & Allied Ind. & Gautam Freight Pvt. Ltd.,72.497332,26.438721,,Wind,India
1516,237284,"Wengyuan 20MW Hydro Power Project in Guizhou Province, China",102.5,25.666667,2009,Hydropower,China
1517,237419,Burcbendi 27.33 MW Hydroelectric Power Plant,38.172222,37.458333,,Hydropower,Turkey
1518,237533,Feke I 29.4 MW Hydroelectric Power Plant,35.932806,37.823,,Hydropower,Turkey
1519,237785,Bangkok Kamphaeng Saen West: Landfill Gas to Electricity Project,99.934736,14.056278,,,
1520,2371178,Jilin Da' an Dagangzi Wind Power Project Phase IV,123.516666,45.266666,,Wind,China
1521,2371179,Gansu Tianrun Liuyuan 1st Stage 49.5MW Wind Park Project,95.549998,45.916665,,Wind,China
1523,2371211,Green Energy Project at Gujarat by Powerica Limited,70.584721,23.267222,2013,RE Bundled,India
1525,237460,Gansu Datonghe Tiecheng Hydropower Station Project,102.867222,36.561111,,Hydropower,China
1527,237462,Sinohydro Inner Mongolia Ximeng Honggeer Wind Power Project,115.961111,43.410556,2008,Wind,China
1529,237464,"6.0 MW Biomass based cogeneration power plant of Rama Paper Mills Limited, Kiratpur, Uttar Pradesh",78.2325,29.5325,2008,Biomass,India
1530,237465,BHL Thanabhawan Project,77.683333,29.466667,2008,RE Bundled,India
1531,2371057,Guangxi Qiaogong Hydropower Project,108.946111,23.625278,,Hydropower,China
1532,2371968,Grid Connected Wind Energy Project in Gujarat,69.3831,22.1232,,Wind,India
1533,237777,8.6 MW Captive Wind Energy Project in Tamil Nadu,77.52,10.73,,Wind,India
1535,237470,Xinjiang Dabancheng Sanchang Phase III Wind Power Project,87.755806,43.47333,2008,Wind,China
1536,237473,Henan Nanyang Fangcheng Wind Farm Project,113.033333,33.166667,2009,Wind,China
1537,237474,Inner Mongolia Bayinhanggai 49.5MW Wind Farm Project,107.85,42.016667,2008,Wind,China
1538,237475,Heilongjiang Shaobaishan Wind Power Project,129.68333,47.775,2009,Wind,China
1539,237476,28MW Jinkouba Hydropower Project,104.888333,32.847778,2009,Hydropower,China
1540,237895,"20.8 MW Grid connected wind electricity generation project at Dhule, Maharashtra.",74.330832,21.166667,2006,Wind,India
1541,237733,Biomass based steam generation project by Gujarat Ambuja Exports Ltd.,79.706666,28.928332,2008,Biomass,India
1542,23726,Gansu Diebu Niaojiaga 12.9 MW Hydropower Station Project,103.531944,33.970278,2006,Hydropower,China
1543,23791,Changshatou 10MW Hydropower Project in Hubei Province,110.546167,30.644167,2007,Hydropower,China
1544,2372263,Renewable Energy based power generation projects in Bangladesh,92.15,20.58,2018,RE Bundled,Bangladesh
1546,2371310,Guohua Tongliao Kezuo Zhongqi Phase I 49.5 MW Wind Farm Project,122.95,41.216388,2009,Wind,China
1549,237854,Waste Gas-based Cogeneration Project at Alexandria Carbon Black,29.846387,30.993887,2008,Biomass,Egypt
1552,2372257,Wind Power Project by M/s D. J. Malpani at Jath in Maharashtra,75.304693,16.983664,,Wind,India
1553,2371090,Solar PV power project by Roha Dyechem Pvt.  Ltd. (EKIESL.CDM.Aug-11-02),71.2,23.899442,2012,Solar - Centralized,India
1554,2372097,Tepekisla Dam & Hydropower Plant Project,110.575276,28.562083,2015,Hydropower,Turkey
1555,2372239,Akbas Hydroelectric Power Plant -DUPLICATE,29.325848,38.230446,,Hydropower,Turkey
1556,2372095,Duzce Aksu Hydro Electricity Power Plant,30.963611,40.702221,2014,Hydropower,Turkey
1557,2372096,Akbas Hydroelectric Power Plant,29.325831,38.230277,,Hydropower,Turkey
1558,2372094,Koclu Regulator and Hydroelectric Power Plant (KoÃ§lu Regulator & HEPP),38.651854,40.79849,2014,Hydropower,Turkey
1561,2372092,KirazlÄ±k Hydroelectric  Power Plant Project,42.061104,37.924444,2013,Hydropower,Turkey
1562,2372091,AKKENT-Ã‡ALKUYUCAK HYDROELECTRIC POWER PLANT,29.3575,38.20611,,Hydropower,Turkey
1563,2372090,Wind Electricity Generation Project.,73.988889,17.180831,2010,Wind,India
1564,2372089,Rio Taquesi Hydroelectric Power Project,-67.19637,-16.12547,2012,Hydropower,Bolivia
1567,237803,"9 MW grid connected bundled wind electricity generation project at Tirunelveli, Tamilnadu",77.732777,8.295555,2008,Wind,India
1572,2372242,Installation of wind power project in Rajasthan and Tamil Nadu,71.00184,26.690113,2016,Wind,India
1573,2372243,"Wind power project in Madhya Pradesh, India",70.178415,22.800546,2016,Wind,India
1574,2372244,Lalpur wind farm in Gujarat,69.827162,22.171202,2016,Wind,India
1575,2372245,"Wind power project in Rajasthan, India",76.178331,22.800554,2018,Wind,India
1576,2372248,Wind energy project by LWEPL-1,69.918706,22.173597,2017,Wind,India
1577,2372006,West Huaybong 3 wind farm project,101.460753,15.206717,,Wind,Thailand
1579,2372247,Tadas Wind Farm in Karnataka,75.166094,15.108126,,Wind,India
1580,2372080,Jiro Kanto rural hydro-electricity in Alaotra-Mangoro,48.683056,-17.532778,,Hydropower,Madagascar
1581,237185,"Fuel-Switching Project from Fossil Fuels to Biomass in La Providencia, Arcor",-65.5675,-27.264167,2007,Biomass,Argentina
1582,237817,Datong River Zhuchaxia Hydropower Station,102.636943,36.853056,2008,Hydropower,China
1584,237823,Datong River Tianwanggou Hydropower Station,102.771944,36.665832,2008,Hydropower,China
1585,2371301,Guohua  Rongcheng Phase ll Wind Farm Project,122.515,37.376666,2010,Wind,China
1587,2372076,EOLO Wind Power Project,-85.49,11.25,2015,Wind,Nicaragua
1588,237264,"Kargilik 24 MW Hydropower Plant, Turkey",36.2,37.5,2006,Hydropower,Turkey
1589,237598,"Keban 5 MW Hydropower Plant, Turkey",38.751801,38.785311,2007,Hydropower,Turkey
1590,2371362,Shandan Dongle Beitan 50MW Solar Power Generation Project,100.955556,38.820833,2014,Solar - Centralized,China
1591,2371406,Jingyuan County 100MW Solar Power Generation Project,105.129165,36.983333,2014,Solar - Centralized,China
1596,237621,"Biomass based renewable energy project in a Solvent Extraction Plant, India",75.09,23.43,2006,Biomass,India
1597,2372069,Greenfield Solar Power Mission by Fortum India,71.587222,26.598055,,Solar - Centralized,India
1598,2371356,Jiangsu Dongtai Phase II Wind Power Project,120.9025,32.658889,2010,Wind,China
1599,2371200,Guohua Wulate Zhongqi Chuanjing Phase II Wind Farm Project,108.525,41.563884,2009,Wind,China
1600,2372065,Renewable Energy Power Projects by Atria Power,75.915278,16.596667,2018,RE Bundled,India
1602,2372067,Rao Trang Hydro Power 4 & 3,107.382295,16.44862,,Hydropower,Vietnam
1603,2372068,Solar PV Greenfield project by Azure India,73.410555,28.322499,,Solar - Centralized,India
1604,237813,Inner Mongolia Chifeng Gaofeng Wind Power Project,118.723611,42.383611,2008,Wind,China
1605,2372057,Renewable Solar Power Project By SolarArise India Project Pvt. Ltd.,79.048889,28.106389,,Solar - Centralized,India
1606,2372058,50MW Greenfield Solar Plant in UP by Jakson Group,77.739888,26.963666,,Solar - Centralized,India
1607,2372053,Smart Anatolia Bundled Solar Project,33.40188,38.191491,2018,Solar - Centralized,Turkey
1608,237292,"150 MW grid connected Wind Power based electricity generation project in Gujarat, India.",68.878056,23.054722,2009,Wind,India
1610,2372062,West Huaybong 2 wind farm project,101.470181,15.156556,,Wind,Thailand
1611,2372064,Renewable Solar Power Project by Torrent Power,71.197794,23.913413,,Wind,India
1612,2372061,Diadema II Wind Farm,-67.676389,-45.760556,,Wind,Argentina
1614,2372052,Renewable Wind Power Project by Axis Wind Farms (Rayalaseema) Pvt. Ltd,77.4178,14.8138,2018,Wind,India
1615,237308,"2.45 MW Wind Power Project in Rajasthan, India by Yamuna Power and Infrastructure Ltd.",70.855556,26.741389,2006,Wind,India
1616,2372050,Huaneng Gansu Guazhou Ganhekou No.2 Wind Farm Project,95.457778,40.745556,,Wind,China
1617,2372049,Huaneng Daqing Aobao Wind Farm Project,124.284165,46.194167,,Wind,China
1618,2372051,1944 MW SUDAIR SOLAR PROJECT,45.351,25.4611,,Solar - Centralized,Saudi Arabia
1619,2372055,Shaoguan City Shaoneng Biomass Power Generation Project,113.612217,24.800556,,Biomass,China
1620,2372054,Installation of 240 MW Hydroelectric Project at Kutehr in the Chamba district of Himachal Pradesh by JSW Energy,76.46,32.46,,Hydropower,India
1621,2372042,Renewable Wind Power Project by Adani,70.63545,23.209,2019,Wind,India
1622,2371624,"Biomass Based Cogeneration Project by CG GROUP, NEPAL",83.5,27.75,,Biomass,Nepal
